test_name,sample_time,rpm_l,rpm_r,v_l_mps,v_r_mps,distance
Test 5: 0.5m forward,1.8946521282196045,46,-47,0.1541474795361392,-0.1574985116999683,0.23370589067749903
Test 5: 0.5m forward,1.9479608535766602,50,-51,0.16755160819145565,-0.17090264035528474,0.24272717296835244
Test 5: 0.5m forward,1.999074935913086,50,-51,0.16755160819145565,-0.17090264035528474,0.25137706213201805
Test 5: 0.5m forward,2.0501856803894043,54,-55,0.1809557368467721,-0.1843067690106012,0.26071148143384604
Test 5: 0.5m forward,2.1013076305389404,57,-58,0.19100883333825944,-0.19435986550208856,0.27056188113949997
Test 5: 0.5m forward,2.1524317264556885,57,-58,0.19100883333825944,-0.19435986550208856,0.28041269430091315
Test 5: 0.5m forward,2.203557252883911,59,-60,0.19771089766591765,-0.20106192982974677,0.2906064296664065
Test 5: 0.5m forward,2.2546639442443848,59,-60,0.19771089766591765,-0.20106192982974677,0.30079640957528864
Test 5: 0.5m forward,2.305772066116333,60,-61,0.20106192982974677,-0.20441296199357586,0.31115793966894933
Test 5: 0.5m forward,2.356876850128174,60,-61,0.20106192982974677,-0.20441296199357586,0.32151879305337705
Test 5: 0.5m forward,2.407996416091919,60,-60,0.20106192982974677,-0.20106192982974677,0.33179699163810666
Test 5: 0.5m forward,2.459111213684082,60,-60,0.20106192982974677,-0.20106192982974677,0.3420742314848439
Test 5: 0.5m forward,2.5102150440216064,59,-59,0.19771089766591765,-0.19771089766591765,0.3521780156550426
Test 5: 0.5m forward,2.5613181591033936,59,-59,0.19771089766591765,-0.19771089766591765,0.36228165841138743
Test 5: 0.5m forward,2.6124277114868164,58,-58,0.19435986550208856,-0.19435986550208856,0.37221530413850146
Test 5: 0.5m forward,2.663539171218872,58,-58,0.19435986550208856,-0.19435986550208856,0.38214932057763923
Test 5: 0.5m forward,2.714658498764038,56,-57,0.18765780117443032,-0.19100883333825944,0.39182791243767917
Test 5: 0.5m forward,2.7657833099365234,56,-57,0.18765780117443032,-0.19100883333825944,0.40150754253107007
Test 5: 0.5m forward,2.8169069290161133,55,-56,0.1843067690106012,-0.18765780117443032,0.41101563002969155
Test 5: 0.5m forward,2.870177984237671,55,-56,0.1843067690106012,-0.18765780117443032,0.42092310260908644
Test 5: 0.5m forward,2.9212801456451416,56,-56,0.18765780117443032,-0.18765780117443032,0.43051282185407325
Test 5: 0.5m forward,2.9723920822143555,56,-56,0.18765780117443032,-0.18765780117443032,0.4401043754844189
Test 5: 0.5m forward,3.0235018730163574,56,-57,0.18765780117443032,-0.19100883333825944,0.4497811617212397
Test 5: 0.5m forward,3.074605703353882,56,-57,0.18765780117443032,-0.19100883333825944,0.45945681944354866
Test 5: 0.5m forward,3.125714063644409,57,-58,0.19100883333825944,-0.19435986550208856,0.4693046005960608
Test 5: 0.5m forward,3.1768288612365723,57,-58,0.19100883333825944,-0.19435986550208856,0.4791536221158506
Test 5: 0.5m forward,3.2278943061828613,59,-60,0.19771089766591765,-0.20106192982974677,0.48933537805012856
Test 5: 0.5m forward,3.2790040969848633,59,-60,0.19771089766591765,-0.20106192982974677,0.49952597594554166
Test 5: 0.5m forward,3.3301382064819336,60,-61,0.20106192982974677,-0.20441296199357586,0.5098927747039449
Test 6: 0.6m forward,0.05006217956542969,0,0,0.0,0.0,0.0
Test 6: 0.6m forward,0.10339665412902832,0,0,0.0,0.0,0.0
Test 6: 0.6m forward,0.15448570251464844,0,0,0.0,0.0,0.0
Test 6: 0.6m forward,0.20557785034179688,4,-3,0.013404128655316452,-0.01005309649148734,0.0005992400074076015
Test 6: 0.6m forward,0.25667786598205566,4,-3,0.013404128655316452,-0.01005309649148734,0.001198572293346974
Test 6: 0.6m forward,0.307783842086792,11,-10,0.03686135380212024,-0.033510321638291124,0.002996778875100936
Test 6: 0.6m forward,0.3589012622833252,11,-10,0.03686135380212024,-0.033510321638291124,0.004795388126811718
Test 6: 0.6m forward,0.410006046295166,20,-20,0.06702064327658225,-0.06702064327658225,0.008220463625796086
Test 6: 0.6m forward,0.46111392974853516,20,-20,0.06702064327658225,-0.06702064327658225,0.011645746851345479
Test 6: 0.6m forward,0.5122299194335938,29,-29,0.09717993275104428,-0.09717993275104428,0.016613195291442548
Test 6: 0.6m forward,0.5633463859558105,29,-29,0.09717993275104428,-0.09717993275104428,0.021580690070542582
Test 6: 0.6m forward,0.6144497394561768,37,-38,0.12398819006167718,-0.12733922222550628,0.028002526867764693
Test 6: 0.6m forward,0.6655519008636475,37,-38,0.12398819006167718,-0.12733922222550628,0.034424213862175486
Test 6: 0.6m forward,0.7166545391082764,44,-46,0.14744541520848095,-0.1541474795361392,0.04213031016081787
Test 6: 0.6m forward,0.7677567005157471,44,-46,0.14744541520848095,-0.1541474795361392,0.04983633455411082
Test 6: 0.6m forward,0.818873405456543,51,-53,0.17090264035528474,-0.17760470468294298,0.05874360811712044
Test 6: 0.6m forward,0.8701937198638916,51,-53,0.17090264035528474,-0.17760470468294298,0.06768636137743653
Test 6: 0.6m forward,0.9213206768035889,57,-59,0.19100883333825944,-0.19771089766591765,0.07762338985176716
Test 6: 0.6m forward,0.9724373817443848,57,-59,0.19100883333825944,-0.19771089766591765,0.08755842574897019
Test 6: 0.6m forward,1.0255706310272217,56,-60,0.18765780117443032,-0.20106192982974677,0.09788539693327131
Test 6: 0.6m forward,1.076671838760376,56,-60,0.18765780117443032,-0.20106192982974677,0.10781742079528146
Test 6: 0.6m forward,1.1277790069580078,53,-57,0.17760470468294298,-0.19100883333825944,0.11723681783906834
Test 6: 0.6m forward,1.178894281387329,53,-57,0.17760470468294298,-0.19100883333825944,0.12665770891622674
Test 6: 0.6m forward,1.2299976348876953,49,-51,0.16420057602762653,-0.17090264035528474,0.13522015797918954
Test 6: 0.6m forward,1.2811002731323242,49,-51,0.16420057602762653,-0.17090264035528474,0.1437824871999033
Test 6: 0.6m forward,1.3322064876556396,44,-46,0.14744541520848095,-0.1541474795361392,0.1514891227886664
Test 6: 0.6m forward,1.3833279609680176,44,-46,0.14744541520848095,-0.1541474795361392,0.15919805934861136
Test 6: 0.6m forward,1.4344491958618164,42,-43,0.14074335088082274,-0.14409438304465186,0.16647868769992213
Test 6: 0.6m forward,1.4855601787567139,42,-43,0.14074335088082274,-0.14409438304465186,0.1737578559731653
Test 6: 0.6m forward,1.5366652011871338,41,-42,0.13739231871699362,-0.14074335088082274,0.18086492078991342
Test 6: 0.6m forward,1.5877721309661865,41,-42,0.13739231871699362,-0.14074335088082274,0.18797225085750613
Test 6: 0.6m forward,1.638885498046875,42,-42,0.14074335088082274,-0.14074335088082274,0.19516611741524376
Test 6: 0.6m forward,1.689990758895874,42,-42,0.14074335088082274,-0.14074335088082274,0.2023588430747704
